object,id,code,mtgo_code,arena_code,tcgplayer_id,name,uri,scryfall_uri,search_uri,released_at,set_type,card_count,printed_size,digital,nonfoil_only,foil_only,block_code,block,icon_svg_uri,card_name,artist,collector_number,background,parent_set_code
set,a66a6124-0d81-488d-b080-91f5ba7fbad0,10e,10e,10e,1,Tenth Edition,https://api.scryfall.com/sets/a66a6124-0d81-488d-b080-91f5ba7fbad0,https://scryfall.com/sets/10e,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A10e&unique=prints,2007-07-13,core,510,383,false,false,false,lea,Core Set,https://svgs.scryfall.io/sets/10e.svg?1721016000,Mountain,Daria Khlebnikova,274,Mountain (Daria Khlebnikova) [MID] {274}.jpg,
set,cd7694b9-339c-405d-a991-14413d4f6d5c,2ed,,,115,Unlimited Edition,https://api.scryfall.com/sets/cd7694b9-339c-405d-a991-14413d4f6d5c,https://scryfall.com/sets/2ed,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A2ed&unique=prints,1993-12-01,core,302,,false,true,false,lea,Core Set,https://svgs.scryfall.io/sets/2ed.svg?1721016000,Grief,Svetlin Velinov,311,Grief (Svetlin Velinov) [MH2] {311}.jpg,
set,5a645837-b050-449f-ac90-1e7ccbf45031,2x2,,,3070,Double Masters 2022,https://api.scryfall.com/sets/5a645837-b050-449f-ac90-1e7ccbf45031,https://scryfall.com/sets/2x2,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A2x2&unique=prints,2022-07-08,masters,579,331,false,false,false,,,https://svgs.scryfall.io/sets/2x2.svg?1721016000,Coiling Oracle,Richard Kane Ferguson,375,Coiling Oracle (Richard Kane Ferguson) [2X2] {375}.jpg,
set,372dafe8-b5d1-4b81-998f-3ae96b59498a,2xm,2xm,2xm,2655,Double Masters,https://api.scryfall.com/sets/372dafe8-b5d1-4b81-998f-3ae96b59498a,https://scryfall.com/sets/2xm,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A2xm&unique=prints,2020-08-07,masters,384,332,false,false,false,,,https://svgs.scryfall.io/sets/2xm.svg?1721016000,Forest,Noah Bradley,382,Forest (Noah Bradley) [2XM] {382}.jpg,
set,45a69797-8adf-468e-a4e1-ba81fd9d66ac,3ed,,,97,Revised Edition,https://api.scryfall.com/sets/45a69797-8adf-468e-a4e1-ba81fd9d66ac,https://scryfall.com/sets/3ed,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A3ed&unique=prints,1994-04-11,core,306,,false,true,false,lea,Core Set,https://svgs.scryfall.io/sets/3ed.svg?1721016000,Plains,Indra Nugroho,269,Plains (Indra Nugroho) [VOW] {269}.jpg,
set,f35f5dd8-5b95-4f52-bbe7-1c62909a8d08,40k,,,3079,"Warhammer 40,000 Commander",https://api.scryfall.com/sets/f35f5dd8-5b95-4f52-bbe7-1c62909a8d08,https://scryfall.com/sets/40k,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A40k&unique=prints,2022-10-07,commander,618,168,false,false,false,cmd,Commander,https://svgs.scryfall.io/sets/40k.svg?1721016000,Deserted Beach,Piotr Dura,281,Deserted Beach (Piotr Dura) [MID] {281}.jpg,
set,daa633b3-2bdb-48a2-a40e-3de16b6e41a5,4bb,,,1688,Fourth Edition Foreign Black Border,https://api.scryfall.com/sets/daa633b3-2bdb-48a2-a40e-3de16b6e41a5,https://scryfall.com/sets/4bb,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A4bb&unique=prints,1995-04-01,core,378,,false,true,false,,,https://svgs.scryfall.io/sets/4ed.svg?1721016000,Mountain,Salvatorre Zee Yazzie,275,Mountain (Salvatorre Zee Yazzie) [OTJ] {275}.jpg,4ed
set,2dd259d4-dc13-4956-a2dc-3e1d70b4a743,4ed,,,46,Fourth Edition,https://api.scryfall.com/sets/2dd259d4-dc13-4956-a2dc-3e1d70b4a743,https://scryfall.com/sets/4ed,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A4ed&unique=prints,1995-04-01,core,379,,false,true,false,lea,Core Set,https://svgs.scryfall.io/sets/4ed.svg?1721016000,Magmaquake,Sam Burley,140★,Magmaquake (Sam Burley) [PM13] {140★}.jpg,
set,e4bc1b87-5476-463c-8640-4c414ecf1763,5dn,5dn,5dn,43,Fifth Dawn,https://api.scryfall.com/sets/e4bc1b87-5476-463c-8640-4c414ecf1763,https://scryfall.com/sets/5dn,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A5dn&unique=prints,2004-06-04,expansion,165,165,false,false,false,mrd,Mirrodin,https://svgs.scryfall.io/sets/5dn.svg?1721016000,Wasteland,Hristo D. Chukov,376,Wasteland (Hristo D. Chukov) [LTC] {376}.jpg,
set,5afd2f4b-8309-4f45-a2b2-3785018474cb,5ed,,,44,Fifth Edition,https://api.scryfall.com/sets/5afd2f4b-8309-4f45-a2b2-3785018474cb,https://scryfall.com/sets/5ed,https://api.scryfall.com/cards/search?include_extras=true&include_variations=true&order=set&q=e%3A5ed&unique=prints,1997-03-24,core,460,,false,true,false,lea,Core Set,https://svgs.scryfall.io/sets/5ed.svg?1721016000,Hedron Archive,Cosmin Podar,691,Hedron Archive (Cosmin Podar) [SLD] {691}.jpg,
