Quantity,Front,Front ID,Back,Back ID
5,doubling cube,1umPYYuKeh8KknLFdpFizmZo9HoHNW8G8,,
14,force of negation,1Og1xQj0pAq3wsZzgpLJqZhSGBjrx6vfC,,
12,dockside extortionist,14R7d1NCPIXaW2cEi6AX_geqcYflPQ9rp,,
15,phyrexian altar,1j8V_dRMEkI0-4xBQ8iy-hr0H69jKSVaY,,
10,senseis divining top,1cAfh1m8JqZoH1zSxd8UUomUFGEP4RsCQ,,
4,vedalken orrery,1Ua9MWsXlLx5mDdA7XpLKUGl3ZUztO3lx,,
5,kozilek butcher of truth,1_7rjoWmX1zXvoSo74Gje3Jab1qrL4imJ,,
14,consecrated sphinx,114HKdwuGGUlf9GkWgecdbjkTLBm9vQWm,,
15,imperial seal,1XLXinqcuwz1haiWIA2yOWnI5Diql7aA_,,
10,allosaurus shepherd,1KpsONOUHtVfaK0fqOG51rspzvHMsK_es,,
8,crucible of worlds,1FCbOmmV3DpJNHPluuyQ63OF6-my28Kpe,,
3,archangel of thune,1FXkvTzoD-trkqk5zRUJPNaLxTKtJkZtp,,
14,force of will,1f18RgEjJVUMz2qpiNnL5T3IxGhXp6UJY,,
5,jace mind sculptor,1mOtyJ2vz-MkC5tzY774L7EcIfg-lhyun,,
4,mana echoes,1i9o7LiswIb1M8OWcDmLTpwoAR9-N25Ae,,
8,darksteel forge,1e6tOZM-VSO0apr_s23RjdF0JvgvHoHCY,,
9,hammer of nazahn,1SZIC2EFEQwHfQrk81ulY8sXqmQXjcWVs,,
10,mox opal,1urz5z4e_IV_v1bishmsGjrhQWI1Zh7C0,,
13,sword of body and mind,1XsUym7hkc0lOK37SPq9fTOF9ZA21hlJK,,
4,trinisphere,1BEzqn70et8_GbbD1X6770iaWo7-g9HzD,,
5,stoneforge mystic,1kNoVqKOd68r0auDcYYvaPU23MOlTq_1T,,
2,blightsteel colossus,1IODisyUw-AsByBbHgFMU6ZuZRhezpNao,,
20,chrome mox,1EoxNlZKT5o5YkB7C9nwTXOkn-a3_kgTD,,
13,sword of light and shadow,1mYyQ2dhIdzQmx30aNai2_jMNpLXZNgmn,,
13,sword of war and peace,1Ff_HibVSk_gMoHROyE8pQ5Bm-MwUMYuu,,
15,wheel of fortune,1d7pS-R2paPTUxXr9A-fqfRzCfU2-bPL6,,
8,sceptre of eternal glory,1kKj0W0lFkrbg4xskrARD_Zs5LaJQa1RG,,
14,krark clan ironworks,1RHcb8v3OlIWWygPOq5RTSaJNXUxiQVUr,,
4,klauth unrivaled ancient,1BodwyjUj0Xe-e8DUlRTkaGT7AQKnALYi,,
5,prosper tome bound,1HIdaNAtXPBGWeP0k6IsKQxrQvAlYEIxR,,
4,old gnawbone,11_4uI-Bx9zobBATR4QJU_f_B5o9xdC3H,,
4,throne of god pharaoh,1UzH7BCITKujg5ccCTdzc-Lm6PO9NZ5cS,,
5,spellseeker,10Fe-vUfz_0ZEs2spu9Zw78jHxA96JO1B,,
15,doubling season,1KaZgd2KPSgDjtadQ1wX9nhZyoqLmfA6f,,
12,greater good,1q5wo9_keCNFrzGM8o3-odhtaudEirWJ_,,
5,void winnower,1GY7Q6Qjyly6-ll7huSW3V01QiRGKS8Ve,,
3,vaultborn tyrant,1cbSukib7QCLvrnRjpPmzVWEOe02Px3cR,,
13,sword of wealth and power,1KKbdC3gmVpUFRQNkI6NUY9NnAoP2ELHR,,
20,three tree city,1X5Np-xY6nxs1WlwHNrb1Ti_Sj7X_vFWZ,,
4,myrel shield of argive,1KkN_hNL00_xDRgMAT0cHBqAJn_aIEb4c,,
3,tymna weaver,15yplXzJUMQQjOlmPtol2K8CaoNibW_s0,,
14,swan song,1E2IC169t0vAJVM3DxnBLtkN1HYgcVPMN,,
10,burgeoning,1tIApu-BHuiZwmoHjfMoL8PFb1HQj5Fys,,
3,scalelord reckoner,1SorheCfhXFClVqQdAf_64KCB0Vtqm7Lx,,
3,edgar markov,1tklU0VFJrR8GP-h4YaZvYD3zwbiS48mL,,
2,ur dragon,1CFfoI1mosNam-OGPXRR3Jx5njMLTbH3e,,
4,second harvest,1Vp8ue5WfCHAmm6WYNEmsEuLlA0_E6lSq,,
4,sylvan library,1zH13vg3txcNVJXBmQq6sAI309wRvW_jG,,
3,dosan falling leaf,1PmxK-5IefgAzp03ZyYtDIA4L7KYtaLjr,,
10,ancient silver dragon,1OiRaMTixJM_97ERwPNhyfPJWhHn7ubLv,,
10,ancient brass dragon,1kFnyO8wAjw85-sjBkVB0zlhEVDyt_7Pq,,
10,ancient copper dragon,1TVDj-arG5dS5bri8jssEcQIJioY_8K-5,,
5,passionate archaeologist,136zVfYnYPCvA5albaeghMMB9gxkAvWnL,,
5,black market connections,1xFHx_fH1VZPJc15jA1t8RrnPjcDJ5pvL,,
15,grim hireling,1rhP8NCtacao0yfuH-shh1798c4FIWHwe,,
5,avacyn angel of hope,1H_kNrbI3Mo6ERe4ZR2onxp6vfIMbq0ir,,
4,bribery,1X3M9K6lKzpsA_mWokziNLhbWMhaOSa5D,,
14,fierce guardianship,1vh3N7Pxl7o1xjLuB1E9B2-nZGt0WRIBg,,
14,deadly rollick,1qMdqYCdx0GqLm2-QC0M44AeMWNMDagMo,,
4,grave pact,1-j6DrxvbEkYjJeVuP_x0xJggUKo7t77W,,
15,the great henge,1nA1-RoyV49jY6ogKQoyhrGqEQSdcXRFl,,
